employeeId,firstName,lastName,Display Name,Gender,DateOfBirth,Email,Password,Location,Nationality,NID,Role,Status,Manager Id
ROS-E125861,Sourabh,Sajjan,Sourabh.Sajjan,Male,27-Nov-99,Sourabh.Sajjan@demoexample.com,Password@123,England,India,UK985123456,Employee,Active,ROS-E125871
ROS-E125862, James,Smith, James.Smith,Male,11-Oct-97,James.Smith@demoexample.com,Password@123,London,America,UK985123457,Restaurant Assistant Manager,Active,ROS-E125861
ROS-E125863,Michael,Smith,Michael.Smith,Male,08-Dec-98,Michael.Smith@demoexample.com,Password@123,Scotland,America,UK985123458,Restaurant General Manager,Active,ROS-E125871
ROS-E125864,Robert,Gercia,Robert.Gercia,Male,05-Jan-15,Robert.Gercia@demoexample.com,Password@123,Wales,Australia,UK985123459,Supervisor,Active,ROS-E125871
ROS-E125865,Willian,Johnson,Willian.Johnson,Male,25-Jun-93,Willian.Johnson@demoexample.com,Password@123,London,Antartica,UK985123460,Employee,Active,ROS-E125861
ROS-E125866,Addae,Jane,Addae.Jane,Male,20-Jul-92,Addae.Jane@demoexample.com,Password@123,Scotland,Africa,UK985123461,Employee,Active,ROS-E125891
ROS-E125867,Baako,Anade,Baako.Anade,Male,13-Oct-91,Baako.Anade@demoexample.com,Password@123,Wales,Africa,UK985123462,Employee,Active,ROS-E125871
ROS-E125868,Martha,May,Martha.May,Female,02-Feb-95,Aaira.Mokashi@demoexample.com,Password@123,Scotland,Germany,UK985123463,Employee,Active,ROS-E125861
ROS-E125869,Abiba,Fame,Abiba.Fame,Female,27-Nov-99,Abiba.Fame@demoexample.com,Password@123,Wales,Africa,UK985123464,Employee,Active,ROS-E125891
ROS-E125870,Shibil,Rahman,Shibil.Rahman,Male,11-Oct-97,Shibil.Rahman@demoexample.com,Password@123,London,India,UK985123465,Employee,Active,ROS-E125891
ROS-E125871,Tokyo,Taylor,Tokyo.Taylor,Male,05-Jan-89,Tokyo.Taylor@demoexample.com,Password@123,Scotland,Japan,UK985123466,Employee,Active,ROS-E125861
ROS-E125872,Aiko,Piku,Aiko.Piku,Male,25-Jun-93,Aiko.Piku@demoexample.com,Password@123,Wales,Japan,UK985123467,Employee,Active,ROS-E125861
ROS-E125873,Sohail,Kagzi,Sohail.Kagzi,Male,20-Jul-92,Sohail.Kagzi@demoexample.com,Password@123,England,Afghanistan,UK985123468,Employee,Active,ROS-E125871
ROS-E125874,Amida,chan,Amida.chan,Male,13-Oct-91,Amida.Chan@demoexample.com,Password@123,London,Japan,UK985123469,Employee,Active,ROS-E125871
ROS-E125875,Julia,Jackson,Julia.Jackson,Female,02-Feb-95,Julia.Jackson@demoexample.com,Password@123,Scotland,America,UK985123470,Employee,Active,ROS-E125861
ROS-E125876,Charles,Jonson,Charles.Jonson,Male,27-Nov-99,Charles.Jonson@demoexample.com,Password@123,Wales,America,UK985123471,Employee,Active,ROS-E125891
ROS-E125877,Mandy,Downey,Mandy.Downey,Male,27-Nov-99,Mandy.Downey@demoexample.com,Password@123,London,Australia,UK985123472,Employee,Active,ROS-E125891
ROS-E125878,John,Rhodes,John.Rhodes,Male,11-Oct-97,John.Rhodes@demoexample.com,Password@123,Scotland,Antartica,UK985123473,Employee,Active,ROS-E125871
ROS-E125879,Arman,jack,Arman.jack,Male,05-Jan-95,Arman.jack@demoexample.com,Password@123,Wales,Antartica,UK985123474,Employee,Active,ROS-E125891
